date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:13:08	2142126/2142126	---M--	200	added ('OK')	image/png	etag:%2220afae-57ec29854c200%22	https://preview.colorlib.com/theme/sparsh/img/hero-2.png	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/hero-2.png	(from https://preview.colorlib.com/theme/sparsh/)
07:13:08	2596115/2596115	---M--	200	added ('OK')	image/png	etag:%22279d13-57ec29a895540%22	https://preview.colorlib.com/theme/sparsh/img/hero-1.png	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/hero-1.png	(from https://preview.colorlib.com/theme/sparsh/)
07:13:09	400804/400804	---M--	200	added ('OK')	image/png	etag:%2261da4-57ec28c690000%22	https://preview.colorlib.com/theme/sparsh/img/about.png	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/about.png	(from https://preview.colorlib.com/theme/sparsh/)
07:13:10	520831/520831	---M--	200	added ('OK')	image/png	etag:%227f27f-57ec29cbde880%22	https://preview.colorlib.com/theme/sparsh/img/portfolio1.png	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/portfolio1.png	(from https://preview.colorlib.com/theme/sparsh/)
07:13:11	1682195/1682195	---M--	200	added ('OK')	image/png	etag:%2219ab13-57ec29c160fc0%22	https://preview.colorlib.com/theme/sparsh/img/hero-3.png	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/hero-3.png	(from https://preview.colorlib.com/theme/sparsh/)
07:13:11	723420/723420	---M--	200	added ('OK')	image/png	etag:%22b09dc-57ec29e4aa300%22	https://preview.colorlib.com/theme/sparsh/img/portfolio2.png	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/portfolio2.png	(from https://preview.colorlib.com/theme/sparsh/)
07:13:13	533685/533685	---M--	200	added ('OK')	image/png	etag:%22824b5-57ec29d28b840%22	https://preview.colorlib.com/theme/sparsh/img/portfolio3.png	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/portfolio3.png	(from https://preview.colorlib.com/theme/sparsh/)
07:13:13	654600/654600	---M--	200	added ('OK')	image/png	etag:%229fd08-57ec29f7bd000%22	https://preview.colorlib.com/theme/sparsh/img/portfolio4.png	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/portfolio4.png	(from https://preview.colorlib.com/theme/sparsh/)
07:13:14	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%2215283-57ec2acb74380-gzip%22	https://preview.colorlib.com/theme/sparsh/vendor/jquery/jquery-3.2.1.min.js	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/vendor/jquery/jquery-3.2.1.min.js	(from https://preview.colorlib.com/theme/sparsh/)
07:13:14	203016/203016	---M--	200	added ('OK')	image/png	etag:%2231908-57ec29fd75d80%22	https://preview.colorlib.com/theme/sparsh/img/testimonial.png	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/testimonial.png	(from https://preview.colorlib.com/theme/sparsh/)
07:13:15	70966/70966	---M-Z	200	added ('OK')	application/javascript	etag:%2211536-57ec2a9053800-gzip%22	https://preview.colorlib.com/theme/sparsh/vendor/bootstrap/bootstrap.bundle.min.js	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/vendor/bootstrap/bootstrap.bundle.min.js	(from https://preview.colorlib.com/theme/sparsh/)
07:13:16	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%22ad36-57ec2adab6780-gzip%22	https://preview.colorlib.com/theme/sparsh/vendor/owl-carousel/owl.carousel.min.js	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/vendor/owl-carousel/owl.carousel.min.js	(from https://preview.colorlib.com/theme/sparsh/)
07:13:18	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2029%20Oct%202020%2001:43:17%20GMT	https://fonts.googleapis.com/robots.txt		(from https://preview.colorlib.com/theme/sparsh/)
07:13:18	3117/3117	---M-Z	200	added ('OK')	text/css	etag:%225eb03ec2-c2d%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-nice-select/1.1.0/css/nice-select.min.css	/home/ishant/websites/triune-sparsh/cdnjs.cloudflare.com/ajax/libs/jquery-nice-select/1.1.0/css/nice-select.min.css	(from https://preview.colorlib.com/theme/sparsh/elements.html)
07:13:19	14520/14520	---M--	200	added ('OK')	image/jpeg	etag:%2238b8-57ec2a4408400%22	https://preview.colorlib.com/theme/sparsh/img/elements/d.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/elements/d.jpg	(from https://preview.colorlib.com/theme/sparsh/elements.html)
07:13:20	1879/1879	---M--	200	added ('OK')	image/jpeg	etag:%22757-57ec2a44fc640%22	https://preview.colorlib.com/theme/sparsh/img/elements/f1.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/elements/f1.jpg	(from https://preview.colorlib.com/theme/sparsh/elements.html)
07:13:21	1957/1957	---M--	200	added ('OK')	image/jpeg	etag:%227a5-57ec2a45f0880%22	https://preview.colorlib.com/theme/sparsh/img/elements/f2.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/elements/f2.jpg	(from https://preview.colorlib.com/theme/sparsh/elements.html)
07:13:22	2423/2423	---M--	200	added ('OK')	image/jpeg	etag:%22977-57ec2a45f0880%22	https://preview.colorlib.com/theme/sparsh/img/elements/f3.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/elements/f3.jpg	(from https://preview.colorlib.com/theme/sparsh/elements.html)
07:13:23	1559/1559	---M--	200	added ('OK')	image/jpeg	etag:%22617-57ec2a46e4ac0%22	https://preview.colorlib.com/theme/sparsh/img/elements/f4.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/elements/f4.jpg	(from https://preview.colorlib.com/theme/sparsh/elements.html)
07:13:24	1825/1825	---M--	200	added ('OK')	image/jpeg	etag:%22721-57ec2a46e4ac0%22	https://preview.colorlib.com/theme/sparsh/img/elements/f5.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/elements/f5.jpg	(from https://preview.colorlib.com/theme/sparsh/elements.html)
07:13:25	1427/1427	---M--	200	added ('OK')	image/jpeg	etag:%22593-57ec2a48ccf40%22	https://preview.colorlib.com/theme/sparsh/img/elements/f6.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/elements/f6.jpg	(from https://preview.colorlib.com/theme/sparsh/elements.html)
07:13:26	1516/1516	---M--	200	added ('OK')	image/jpeg	etag:%225ec-57ec2a48ccf40%22	https://preview.colorlib.com/theme/sparsh/img/elements/f7.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/elements/f7.jpg	(from https://preview.colorlib.com/theme/sparsh/elements.html)
07:13:27	1343/1343	---M--	200	added ('OK')	image/jpeg	etag:%2253f-57ec2a49c1180%22	https://preview.colorlib.com/theme/sparsh/img/elements/f8.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/elements/f8.jpg	(from https://preview.colorlib.com/theme/sparsh/elements.html)
07:13:29	124531/124531	---M--	200	added ('OK')	image/jpeg	etag:%221e673-57ec2a4e85cc0%22	https://preview.colorlib.com/theme/sparsh/img/elements/g1.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/elements/g1.jpg	(from https://preview.colorlib.com/theme/sparsh/elements.html)
07:13:30	81581/81581	---M--	200	added ('OK')	image/jpeg	etag:%2213ead-57ec2a5162380%22	https://preview.colorlib.com/theme/sparsh/img/elements/g3.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/elements/g3.jpg	(from https://preview.colorlib.com/theme/sparsh/elements.html)
07:13:30	116798/116798	---M--	200	added ('OK')	image/jpeg	etag:%221c83e-57ec2a5162380%22	https://preview.colorlib.com/theme/sparsh/img/elements/g2.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/elements/g2.jpg	(from https://preview.colorlib.com/theme/sparsh/elements.html)
07:13:32	84926/84926	---M--	200	added ('OK')	image/jpeg	etag:%2214bbe-57ec2a534a800%22	https://preview.colorlib.com/theme/sparsh/img/elements/g4.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/elements/g4.jpg	(from https://preview.colorlib.com/theme/sparsh/elements.html)
07:13:32	64607/64607	---M--	200	added ('OK')	image/jpeg	etag:%22fc5f-57ec2a534a800%22	https://preview.colorlib.com/theme/sparsh/img/elements/g5.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/elements/g5.jpg	(from https://preview.colorlib.com/theme/sparsh/elements.html)
